YEAR,SYMBOL,DATASET,TITLE,DESCRIPTION,API BASE URL
1989,CPS_BASIC_JUN,cps/basic/jun,Jun 1989 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",http://api.census.gov/data/1989/cps/basic/jun
1989,CPS_BASIC_MAR,cps/basic/mar,Mar 1989 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",http://api.census.gov/data/1989/cps/basic/mar
1989,CPS_BASIC_MAY,cps/basic/may,May 1989 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",http://api.census.gov/data/1989/cps/basic/may
1989,CPS_BASIC_NOV,cps/basic/nov,Nov 1989 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",http://api.census.gov/data/1989/cps/basic/nov
1989,CPS_BASIC_OCT,cps/basic/oct,Oct 1989 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",http://api.census.gov/data/1989/cps/basic/oct
1989,CPS_BASIC_SEP,cps/basic/sep,Sep 1989 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",http://api.census.gov/data/1989/cps/basic/sep
1990,CBP,cbp,1990 County Business Patterns: Business Patterns,"County Business Patterns (CBP) is an annual series that provides economic data by industry at the U.S., State, County and Metropolitan Area levels. This series includes the number of establishments, employment during the week of March 12, first quarter payroll, and annual payroll. CBP provides statistics for businesses with paid employees for the U.S., Puerto Rico, and the Island Areas. Census Bureau staff identified a processing error that affects selected data from the 2014 County Business Patterns (CBP). As a result, we suppressed 2014 employment and payroll totals in the Health Care and Social Assistance sector (Sector 62) for the following geographies: U.S.; Michigan; Battle Creek, MI metro area; Calhoun County, MI; and the 3rd congressional district of Michigan. This processing error did not affect other sectors. While suppressed values can be derived by subtraction, we do not recommend using the derived values in any analyses.  The Census Bureau plans to release revised statistics at a later date.",http://api.census.gov/data/1990/cbp
1990,CPS_BASIC_APR,cps/basic/apr,Apr 1990 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",http://api.census.gov/data/1990/cps/basic/apr
1990,CPS_BASIC_AUG,cps/basic/aug,Aug 1990 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",http://api.census.gov/data/1990/cps/basic/aug
1990,CPS_BASIC_DEC,cps/basic/dec,Dec 1990 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",http://api.census.gov/data/1990/cps/basic/dec
1990,CPS_BASIC_FEB,cps/basic/feb,Feb 1990 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",http://api.census.gov/data/1990/cps/basic/feb
1990,CPS_BASIC_JAN,cps/basic/jan,Jan 1990 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",http://api.census.gov/data/1990/cps/basic/jan
1990,CPS_BASIC_JUL,cps/basic/jul,Jul 1990 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",http://api.census.gov/data/1990/cps/basic/jul
1990,CPS_BASIC_JUN,cps/basic/jun,Jun 1990 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",http://api.census.gov/data/1990/cps/basic/jun
1990,CPS_BASIC_MAR,cps/basic/mar,Mar 1990 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",http://api.census.gov/data/1990/cps/basic/mar
1990,CPS_BASIC_MAY,cps/basic/may,May 1990 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",http://api.census.gov/data/1990/cps/basic/may
1990,CPS_BASIC_NOV,cps/basic/nov,Nov 1990 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",http://api.census.gov/data/1990/cps/basic/nov
1990,CPS_BASIC_OCT,cps/basic/oct,Oct 1990 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",http://api.census.gov/data/1990/cps/basic/oct
1990,CPS_BASIC_SEP,cps/basic/sep,Sep 1990 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",http://api.census.gov/data/1990/cps/basic/sep
1990,PEP_INT_CHARAGEGROUPS,pep/int_charagegroups,"1990 Population Estimates - 1990-2000 Intercensal Estimates: County Estimates by 5 Year Age Groups, Race by Sex, and Hispanic Origin","Intercensal Estimates of the Resident Population by Age Groups, Race by Sex, and Hispanic Origin for Counties: July 1, 1990 to July 1, 1999 // Source: U.S. Census Bureau, Population Division // For detailed information about the methods used to create the intercensal population estimates, see https://www.census.gov/popest/methodology/intercensal_nat_meth.pdf. // The Census Bureau's Population Estimates Program produces intercensal estimates each decade by adjusting the existing time series of postcensal estimates for a decade to smooth the transition from one decennial census count to the next. They differ from the postcensal estimates that are released annually because they rely on a formula that redistributes the difference between the April 1 postcensal estimate and April 1 census count for the end of the decade across the estimates for that decade. Meanwhile, the postcensal estimates incorporate current data on births, deaths, and migration to produce each new vintage of estimates, and to revise estimates for years back to the last census. The Population Estimates Program provides additional information including historical and postcensal estimates, evaluation estimates, demographic analysis, and research papers on its website: https://www.census.gov/popest/index.html.",http://api.census.gov/data/1990/pep/int_charagegroups
1990,PEP_INT_NATCIVPOP,pep/int_natcivpop,1990 Population Estimates - 1990-2000 Intercensal Estimates: United States Civilian Population Estimates by Age and Sex,"Monthly Intercensal Estimates of the Civilian Population by Single Year of Age and Sex: April 1, 1990 to April 1, 2000 // Source: U.S. Census Bureau, Population Division // For detailed information about the methods used to create the intercensal population estimates, see https://www.census.gov/popest/methodology/intercensal_nat_meth.pdf. // The Census Bureau's Population Estimates Program produces intercensal estimates each decade by adjusting the existing time series of postcensal estimates for a decade to smooth the transition from one decennial census count to the next. They differ from the postcensal estimates that are released annually because they rely on a formula that redistributes the difference between the April 1 postcensal estimate and April 1 census count for the end of the decade across the estimates for that decade. Meanwhile, the postcensal estimates incorporate current data on births, deaths, and migration to produce each new vintage of estimates, and to revise estimates for years back to the last census. The Population Estimates Program provides additional information including historical and postcensal estimates, evaluation estimates, demographic analysis, and research papers on its website: https://www.census.gov/popest/index.html.",http://api.census.gov/data/1990/pep/int_natcivpop
1990,PEP_INT_NATRESAFO,pep/int_natresafo,1990 Population Estimates - 1990-2000 Intercensal Estimates: United States Resident plus Armed Forces Overseas Population Estimates by Age and Sex,"Monthly Intercensal Estimates of the Resident plus Armed Forces Overseas Population by Single Year of Age and Sex: April 1, 1990 to April 1, 2000 // Source: U.S. Census Bureau, Population Division // For detailed information about the methods used to create the intercensal population estimates, see https://www.census.gov/popest/methodology/intercensal_nat_meth.pdf. // The Census Bureau's Population Estimates Program produces intercensal estimates each decade by adjusting the existing time series of postcensal estimates for a decade to smooth the transition from one decennial census count to the next. They differ from the postcensal estimates that are released annually because they rely on a formula that redistributes the difference between the April 1 postcensal estimate and April 1 census count for the end of the decade across the estimates for that decade. Meanwhile, the postcensal estimates incorporate current data on births, deaths, and migration to produce each new vintage of estimates, and to revise estimates for years back to the last census. The Population Estimates Program provides additional information including historical and postcensal estimates, evaluation estimates, demographic analysis, and research papers on its website: https://www.census.gov/popest/index.html.",http://api.census.gov/data/1990/pep/int_natresafo
1990,PEP_INT_NATRESPOP,pep/int_natrespop,1990 Population Estimates - 1990-2000 Intercensal Estimates: United States Resident Population Estimates by Age and Sex,"Monthly Intercensal Estimates of the Resident Population by Single Year of Age and Sex: April 1, 1990 to April 1, 2000 // Source: U.S. Census Bureau, Population Division // For detailed information about the methods used to create the intercensal population estimates, see https://www.census.gov/popest/methodology/intercensal_nat_meth.pdf. // The Census Bureau's Population Estimates Program produces intercensal estimates each decade by adjusting the existing time series of postcensal estimates for a decade to smooth the transition from one decennial census count to the next. They differ from the postcensal estimates that are released annually because they rely on a formula that redistributes the difference between the April 1 postcensal estimate and April 1 census count for the end of the decade across the estimates for that decade. Meanwhile, the postcensal estimates incorporate current data on births, deaths, and migration to produce each new vintage of estimates, and to revise estimates for years back to the last census. The Population Estimates Program provides additional information including historical and postcensal estimates, evaluation estimates, demographic analysis, and research papers on its website: https://www.census.gov/popest/index.html.",http://api.census.gov/data/1990/pep/int_natrespop
1990,,sipp/benefit/1990panel,1990 Survey of Income and Program Participation - 1990 Panel: Type of Benefit and Year of Death Data,"This file contains two items from the benefit records of the Social Security Administration (SSA) for the SIPP 1990 Panel: (1) a summary type of benefit code for the Old-Age-Survivors and Disability Insurance (OASDI) program, popularly known as Social Security for persons in current payment status as of December of the initial full calendar year of each panel, and (2) year of death for sample members identified as having died prior to 1997.",http://api.census.gov/data/1990/sipp/benefit/1990panel
1990,,sipp/core/1990panel/wave1,Wave 1 Survey of Income and Program Participation - 1990 Panel: Core,"SIPP is a nationally representative longitudinal survey that provides comprehensive data about the income and government program participation of individuals and households in the United States. These microdata contain demographic and social characteristic information for each sample member, as well as detailed data on labor force activity, types and amounts of income, and participation in various cash and noncash benefit programs.  Questions about these topics were repeated for eight interviews.  Each interview covered a four-month reference period, with the first interview covering February 1990 to May 1990.",http://api.census.gov/data/1990/sipp/core/1990panel/wave1
1990,,sipp/core/1990panel/wave2,Wave 2 Survey of Income and Program Participation - 1990 Panel: Core,"SIPP is a nationally representative longitudinal survey that provides comprehensive data about the income and government program participation of individuals and households in the United States. These microdata contain demographic and social characteristic information for each sample member, as well as detailed data on labor force activity, types and amounts of income, and participation in various cash and noncash benefit programs.  Questions about these topics were repeated for eight interviews.  Each interview covered a four-month reference period, with the first interview covering February 1990 to May 1990.",http://api.census.gov/data/1990/sipp/core/1990panel/wave2
1990,,sipp/core/1990panel/wave3,Wave 3 Survey of Income and Program Participation - 1990 Panel: Core,"SIPP is a nationally representative longitudinal survey that provides comprehensive data about the income and government program participation of individuals and households in the United States. These microdata contain demographic and social characteristic information for each sample member, as well as detailed data on labor force activity, types and amounts of income, and participation in various cash and noncash benefit programs.  Questions about these topics were repeated for eight interviews.  Each interview covered a four-month reference period, with the first interview covering February 1990 to May 1990.",http://api.census.gov/data/1990/sipp/core/1990panel/wave3
1990,,sipp/core/1990panel/wave4,Wave 4 Survey of Income and Program Participation - 1990 Panel: Core,"SIPP is a nationally representative longitudinal survey that provides comprehensive data about the income and government program participation of individuals and households in the United States. These microdata contain demographic and social characteristic information for each sample member, as well as detailed data on labor force activity, types and amounts of income, and participation in various cash and noncash benefit programs.  Questions about these topics were repeated for eight interviews.  Each interview covered a four-month reference period, with the first interview covering February 1990 to May 1990.",http://api.census.gov/data/1990/sipp/core/1990panel/wave4
1990,,sipp/core/1990panel/wave5,Wave 5 Survey of Income and Program Participation - 1990 Panel: Core,"SIPP is a nationally representative longitudinal survey that provides comprehensive data about the income and government program participation of individuals and households in the United States. These microdata contain demographic and social characteristic information for each sample member, as well as detailed data on labor force activity, types and amounts of income, and participation in various cash and noncash benefit programs.  Questions about these topics were repeated for eight interviews.  Each interview covered a four-month reference period, with the first interview covering February 1990 to May 1990.",http://api.census.gov/data/1990/sipp/core/1990panel/wave5
1990,,sipp/core/1990panel/wave6,Wave 6 Survey of Income and Program Participation - 1990 Panel: Core,"SIPP is a nationally representative longitudinal survey that provides comprehensive data about the income and government program participation of individuals and households in the United States. These microdata contain demographic and social characteristic information for each sample member, as well as detailed data on labor force activity, types and amounts of income, and participation in various cash and noncash benefit programs.  Questions about these topics were repeated for eight interviews.  Each interview covered a four-month reference period, with the first interview covering February 1990 to May 1990.",http://api.census.gov/data/1990/sipp/core/1990panel/wave6
1990,,sipp/core/1990panel/wave7,Wave 7 Survey of Income and Program Participation - 1990 Panel: Core,"SIPP is a nationally representative longitudinal survey that provides comprehensive data about the income and government program participation of individuals and households in the United States. These microdata contain demographic and social characteristic information for each sample member, as well as detailed data on labor force activity, types and amounts of income, and participation in various cash and noncash benefit programs.  Questions about these topics were repeated for eight interviews.  Each interview covered a four-month reference period, with the first interview covering February 1990 to May 1990.",http://api.census.gov/data/1990/sipp/core/1990panel/wave7
1990,,sipp/core/1990panel/wave8,Wave 8 Survey of Income and Program Participation - 1990 Panel: Core,"SIPP is a nationally representative longitudinal survey that provides comprehensive data about the income and government program participation of individuals and households in the United States. These microdata contain demographic and social characteristic information for each sample member, as well as detailed data on labor force activity, types and amounts of income, and participation in various cash and noncash benefit programs.  Questions about these topics were repeated for eight interviews.  Each interview covered a four-month reference period, with the first interview covering February 1990 to May 1990.",http://api.census.gov/data/1990/sipp/core/1990panel/wave8
1990,,sipp/topical/1990panel/wave2,Wave 2 Survey of Income and Program Participation - 1990 Panel: Topical Modules,"SIPP is a nationally representative longitudinal survey that provides comprehensive data about the income and government program participation of individuals and households in the United States. Most interviews of the 1990 SIPP Panel included a topical module that asked for detailed information on one of a rotating group of topics. These microdata contain data for these rotating topics. Interviews occurred every four months, with the first interview occurring between February 1990 to May 1990.",http://api.census.gov/data/1990/sipp/topical/1990panel/wave2
